news,label,value
says joe biden said a racial slur,false,0
wisconsin requires by law a photo id to vote,half-true,1
bill mccollum holds the same position on embryonic stem cell research as barack obama,mostly-true,1
under donald trumps tax plan the top 01 percent of taxpayers  people earning multiple millions of dollars a year on average  would get more tax relief than the bottom 60 percent of taxpayers combined,true,1
says attorney general candidate jon richards went so far to say he would only enforce the laws with which he personally agreed,false,0
pope francis says covid vaccine will now be required to enter heaven,pants-fire,0
the white house branded the memorial service for the tucson shootings with a together we thrive logo and slogan,false,0
if cory gardner gets his way youd better stock up on condoms,pants-fire,0
president donald trump put a hold on all evictions through december,false,0
for the first time in 13 years our dependence on foreign oil is below 50 percent,half-true,1
rob cornilles has been endorsed by 20 local mayors including independent democratic and republican,false,0
says that republicans bragged about how every bill was going to be paid for right from the beginning and that the first vote the repeal of health care reform violated that rule,mostly-true,1
hr 1 would allow the boston bomber to have a right to vote,false,0
ilhan omar called for violence against president trump over middle east dispute,pants-fire,0
members of congress receive full pay retirement after serving one term,pants-fire,0
us hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths leaked documents reveal,false,0
says under president barack obama the debt increased by 23 percent which was less than under any president going back to ronald reagan,false,0
trump denies fire assistance to california because they didnt vote for him but helped russia with their wildfires in siberia,false,0
almost 88000 united states service members are still missing and unaccounted for dating back to world war ii,mostly-true,1
the job of correctional officer lowers your life expectancy    metropolitan did a study in i believe it was 1998 and the life expectancy was 58,false,0
says donald trump was one of the people who rooted for the housing crisis he said back in 2006 gee i hope it does collapse because then i can go in and buy some and make some money ,mostly-true,1
new jerseys poverty rate has increased since this governor took office and the number of new jerseyans without health insurance has risen,half-true,1
says us immigration and customs enforcement will be at every polling station on nov 3 2020,false,0
nancy pelosi said congress shall not vote remotely because it is not secure while also saying that americans should all vote for president by mail,barely-true,0
says paid family leave is a program that is standard in all but five nations around the world,mostly-true,1
says goldman sachs ceo said congress would have to cut social security medicare and medicaid and give huge tax breaks to the wealthy and the large corporations,half-true,1
wisconsin is one of only nine states in the nation in which 17 yearolds are automatically treated as adults in the criminal justice system,half-true,1
virginia now is the number one exporter of agricultural products to cuba we have now jumped to number one,true,1
claims ohio gov john kasich says climate change is a problem,true,1
women in barack obamas white house are earning less than men,half-true,1
nearly half of all pregnancies in the us are unintended,true,1
says milwaukee county sheriff david a clarke jr has said black lives matter is a terrorist movement a hate group and calls it black lies matter,true,1
signs letter saying consumer product safety commission is acting without consultation or input from the company to stop the sale of buckyballs,false,0
the latest stimulus package sends stimulus checks to imprisoned murderers rapists and child molesters,mostly-true,1
a post comparing two construction workers â joe legal and jose illegal â says jose pays no taxes yet gets free medical care food stamps welfare and head of the class priority for his children in applying for college,false,0
says excessive speculation is pushing up oil prices and a recent report estimates it adds 56 cents to every gallon of gasoline siphoned from the pump,mostly-true,1
with north korea nobody has ever seen such a positive response on our behalf from china,half-true,1
the bush tax cuts helped to create a substantial part of the deficit,true,1
says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom,false,0
mark kirks claim of national security expertise is based on his military record which he lied about at least 10 times,mostly-true,1
this governor has given us continual balanced budgets without raising taxes,half-true,1
georgia is one of only five states where breweries cant sell you a pint of beer to drink on premise or sell you a sixpack to go,mostly-true,1
for several days in july of 2012 greenland surface ice cover melted more than at any time in 30 years of satellite observation during that month an estimated 97 of the ice sheet thawed,half-true,1
we have asked public employees to pay 10 percent of the costs of their guaranteed pension and 15 percent of the cost of their health care  the leadership of those public employees unions dont want to pay anything,barely-true,0
says black americans have 10 times less wealth than white americans,mostly-true,1
says in fiscal year 2011 the state had a projected $11 billion deficit,half-true,1
whales live as long at seaworld as they do in the wild,half-true,1
in 1916 the us government predicted that by the 1940s all paper would come from hemp and that no more trees would need to be cut down,false,0
i was the person who saved preexisting conditions in your healthcare,pants-fire,0
harris county texas has some of the highest jailing and incarceration rates in the us and the world,mostly-true,1
says sidney blumenthal wrote that the benghazi attack was almost certainly preventable clinton was in charge of the state department and it failed to protect us personnel and an american consulate in libya,false,0
every president since franklin delano roosevelt has had fasttrack trade authority,half-true,1
wisconsin has the number one health care system in the country everyone in poverty now has health care ,half-true,1
says the club for growth tries to defeat republicans and that its president called nancy pelosi the person i respect the most in washington,barely-true,0
we spend less than 2 percent more every year that is the lowest increase in spending since they have been keeping numbers,true,1
in wisconsin a second arrest for carrying pot is a felony but a second or subsequent arrest for carrying a gun illegally is a misdemeanor,mostly-true,1
says having organizations parading as being social welfare organizations and then being involved in the political combat harkens back to why the statute a hundred years ago said that they were prohibited,false,0
democratic sens ed markey al franken and jeanne shaheen took bribes from iran â¦ they back insane nuke deal,pants-fire,0
says president donald trump took more than a month to allocate congress emergency funding to tribes â and only did so after tribes sued,mostly-true,1
says connie macks penny plan would cut over $200 billion out of medicare over $1 trillion out of social security  $3 trillion out of defense,mostly-true,1
says signers of recall petitions against wisconsin gov scott walker are at risk because of newly discovered provisions in state law,barely-true,0
europe and us households waste 15 times more food than a person in africa,mostly-true,1
theres never been a us supreme court vacancy in the last i think 30 years lasting longer than 237 days,true,1
94 percent of winning candidates in 2010 had more money than their opponents,mostly-true,1
the arizona state board of educations failure to report teachers whose certifications have been revoked or suspended  resulted in the death of a student,mostly-true,1
says president obama has never made a statement  that he wanted a residual force left in iraq,mostly-true,1
newt gingrich was fined $300000 for ethics violations,mostly-true,1
a lot of student loans are already refinanced by the federal government,false,0
half of the american women who are murdered are killed by their intimate partners,true,1
us sen sheldon whitehouse rewarded wall street executives with millions in bonuses,pants-fire,0
says joe biden voted for the iraq war for mass incarceration and for the bankruptcy reform act while voting against gay marriage reproductive rights and school desegregation,half-true,1
says 228 house democrats voted to allow illegal aliens to have right to vote,false,0
the percent of students who enter high school and eventually earn a diploma or equivalent or who remain in pursuit of a diploma or equivalent is 90 percent,half-true,1
the perpupil cost in the blackstone valley prep mayoral academy far outweighs the perpupil cost in cumberland public schools,barely-true,0
fema is paying for hotel rooms for texas winter storm victims,false,0
before this federal health care law was enacted florida parents were able to purchase inexpensive childonly coverage for their children the laws consumer protections have now eliminated that choice in florida,false,0
the united states is the only industrialized country that does not guarantee paid time off to care for a new child,mostly-true,1
after actions by gov scott walker and republicans wisconsin is dead broke,pants-fire,0
the right to vote in this country has never been intrinsically tied to citizenship,mostly-true,1
in many instances peoples health care costs are more than their mortgage costs or their rent which by the way is a first in american history,barely-true,0
central falls schools are overfunded by state money by as much as $8 million,half-true,1
covid19 is now the leading cause of death in the united states,half-true,1
the biden administration halted deportations for all illegal aliens â murderers rapists terrorists ms13 gang members are not being deported,false,0
says scott walker cut funding to local governments in wisconsin contributing to the secondlargest increase in violent crime in the midwest,half-true,1
says she stopped capital metro from raising fares for senior and disabled citizens,mostly-true,1
more than 66 of all births in california are to illegals on medical,false,0
the house of representatives has never sued a sitting president in all of us history,true,1
as part of legislative fights over abortion rightsmike coffman cosponsored a bill to redefine rape,mostly-true,1
among the developed nations we are the least economically and socially mobile country in the world,true,1
the city of pembroke pines doesnt have a vote in a plan to build a detention center in southwest ranches,barely-true,0
quotes mark twain as saying of journalists that it is far better to fear the media for they will steal your honor and describes them as a horde of ignorant selfcomplacent simpletonsâ¦,half-true,1
we are imprisoning or giving jail sentences to young people who are smoking marijuana,barely-true,0
half the country today has either diabetes or prediabetes,mostly-true,1
an audit shows there are 65 million people who have active social security numbers who are 112 years of age or older,true,1
the kkk was formed by the democratic party,false,0
the profit from automated traffic enforcement cameras is going to the private corporations not to the city or state,false,0
trumps tax reform plan was nothing more than a middleclass tax increase,false,0
north korea has a substantial standing army one of the largest certainly the largest per capita in the world,true,1
narragansett bay waters are getting warmer  4 degrees fahrenheit warmer in the winter since the 1960s,half-true,1
it is the decision of the president not governors to open up the states,false,0
biden said today if he loses his people will keep burning looting and killing,false,0
says people who come to their dissent actions get a cease and desist letter from ron johnsons office,false,0
we are last in the nation in startups â 50th,true,1
says fox news posts a fake picture to show soldiers excited to see trump in afghanistanâ¦forgets to take out the universal studios sign in the background,pants-fire,0
says political interference from scott walkers administration has led to gagging dnr scientists so they can no longer comment on proposed legislation and were letting polluters write their own permits,barely-true,0
i can tell you that the enhanced interrogation techniques that have since been banned by this administration â specifically waterboarding â work,false,0
facebook removes censors declaration of independence as hate speech,half-true,1
there are tens of thousands of homes right here in california where you turn on the faucet but you cant drink the water,half-true,1
says hes taken an 8 pay decrease in each of the nine years he has been in office,half-true,1
he took on special interests and won passing the toughest ethics law yet,half-true,1
washington politicians are paid over $200000 an hour for speeches,barely-true,0
the obama administration wants to have soldiers and officers pledge a loyalty oath directly to the office of the president and no longer to the constitution,pants-fire,0
perry pushed for a law that lets insurance companies raise homeowners rates without having to justify the increase,false,0
by 2009 dozens of senior terrorists had been taken off the battlefield by drones,true,1
im predicting the saints will go not only undefeated but all the way through the super bowl  something thats never been done before ,false,0
quotes winston churchill as saying diplomacy is the art of telling people to go to hell in such a way that they ask for directions,false,0
floridas regulations on the payday lending industry are stronger than almost any other state,false,0
says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts,false,0
ice just rolled up to the school where the families are reunifying after the el paso shooting to check citizenship papers,false,0
says walmart employees represent the largest group of medicaid and food stamp recipients in many states costing the taxpayer $1000 per worker,mostly-true,1
spending more taxpayer money on visit fl or less has not demonstrated a direct impact on tourism,half-true,1
in new mexico democratic gubernatorial candidate diane denish spent federal stimulus funds on campaign christmas cards,half-true,1
its time to remove any statue of margaret sanger who was a white suprematist sic spoke at kkk events  supported by democrats prolife,barely-true,0
just in john kerry facing prison,pants-fire,0
the five taliban detainees being released from guantanamo in exchange for captured army sgt bowe bergdahl are the hardest of the hardcore these are the highest highrisk people,mostly-true,1
i dont need a lecture from kirsten gillibrand or anybody else who protected and defended and harbored a sitting president who had sexual relations in the oval office and was impeached for lying,barely-true,0
activities by foreign governments had absolutely no effect on the outcome of this election,barely-true,0
if you rent a uhaul to move your company it costs twice as much to go from san francisco to austin than the other way around because you cant find enough trucks to flee the golden state,true,1
central falls schools are overfunded by state money by as much as $8 million,half-true,1
both democrats and republicans are advocating for the use of student test scores to measure teacher effectiveness,half-true,1
in almost every other country in the world artists and musicians are paid when their music is played on the radio in fact the only countries besides the us who do not have a radioperformance right are china iran and north korea,mostly-true,1
supreme court nominee merrick garland voted to uphold dcs ban on handguns,false,0
driving with a dog in your lap is dangerous in part because it could fly forward in a crash an 80pound dog at only 30 mph packs a 2400pound punch,half-true,1
ron oakleys conservative leadership protected local taxpayers over government bureaucrats as thewater management districts budget decreased by 58 percent in the four years he served on the board,barely-true,0
commerce secretary nominee john bryson appears to endorse world government,false,0
if trump had just put his fathers money in a mutual fund  hed have $8 billion,false,0
says christine blasey ford and her lawyer were photographed with george soros hillary clinton,pants-fire,0
we had 6000 oil and gas spills in 2012 with more oil and gas spreading in the united states than the entire exxon valdez spill,mostly-true,1
says chris koster fell silentas attorney general in pursuing a case against a free classified service accused of promoting prostitution after accepting over $12000 in campaign contributions from people affiliated with the service,barely-true,0
after the tax cuts and jobs act the typical american workers pay growing at more than 3 percent a year record low unemployment,half-true,1
says donald trumps position isto roll back all of the financial regulations passed after the financial crisis,mostly-true,1
about half of the presidents have been governors half of them senators,false,0
says that since 1975 redistricting by texas lawmakers has always been found in violation of section 5 of the voting rights act,half-true,1
covid literally stands for chinese originated viral infectious disease,pants-fire,0
almost nine out of every 10 pennies that would be spent turning a 200mile stretch of interstate 70 into a toll road would be from folks outside missouri,barely-true,0
president barack obamas judicial appointments for georgia and the region were drafted in secret and not vetted by legal groups among the presidents supporters,mostly-true,1
for what it would cost the national guard to make just twoarrests at the border we could give a homeless veteran permanent housing for an entire year,mostly-true,1
we have the lowest corporate tax rate since 1968,true,1
employees in workplace freedom states make more money,barely-true,0
republican candidate for governor ken block was fined and had to admit that he funneled money illegally to the moderate party,true,1
clearly the obama administration did not leave any kind of game plan for something like this,pants-fire,0
said the seven years warled to near bankruptcy for many countries britains need to raise taxes fueled the american desire for independence,mostly-true,1
ive got the spending down ive got the debt down a little bit ive got the reserves up,mostly-true,1
rhode island is leading our nation in foreclosures,false,0
$18 billion of soros money just intercepted â he could officially go to prison for years,pants-fire,0
every single month since 1985 has been warmer than the historic average all 12 of the warmest years on record have come in the last 15 years,true,1
isis didnt exist when my brother was president alqaida in iraq was wiped out when my brother was president,barely-true,0
says daniel webster used taxpayer funds to build a lobbyist lounge,barely-true,0
schumer and pelosi sneak funding into covid bill,false,0
state lawmakers are spending taxpayer money for parking that billionaire arthur blank could build while paying some state employees so little they are on food stamps,half-true,1
federal aid for state and local governments through a proposed coronavirus relief bill would amount to half of what the republicans put onto the national debt,mostly-true,1
not even house intelligence chairman adam schiffs republican colleagues were allowed into the scif during the house impeachment investigation,false,0
mitt romney is tearing down his 3000squarefoot house to build an 11000squarefoot house,mostly-true,1
nearly 800 million opioid pills were shipped to wv amounting to 433 pills for every man woman and child in the state,mostly-true,1
the government is trying to now close the lincoln memorial for any kind of large gatherings,pants-fire,0
says the gop is helping pay for justice rebecca bradleys campaign and she recently skipped court to attend an event paid for by scott walkers lobbyist friends,mostly-true,1
97 percent of the 100 poorest counties in america are in red states,mostly-true,1
the black rivers water quality is rated at the very top in north carolina,half-true,1
 says winston churchill said the fascists of the future will call themselves antifascists,false,0
more than 40000 troops are still stationed in afghanistan with no clear objective even in the best case by the end of the year at least 10000 american soldiers will still be on the ground,half-true,1
a high school dropout makes on average $19000 a year a high school graduate makes $28000 a year a college graduate makes $51000 a year,mostly-true,1
wages havent gone up for a long time,false,0
election worker brags about destroying trump ballots rips up a ballot for djt on video,false,0
says red cross president and ceo marsha j evans makes $651957 plus expenses a year and only 9 cents of every dollar donated to the organization goes to helping people in need,false,0
broward county sheriff fired for lying about parkland,pants-fire,0
a 2009 usda study found that 87 percent of chicken carcasses tested positive for generic e coli  just prior to packaging,half-true,1
one in five american households have nobody under the same roof thats got a job,half-true,1
says george washington said a free people ought not only be armed and disciplined but they should have sufficient arms and ammunition to maintain a status of independence from any who might attempt to abuse them which would include their own government,barely-true,0
says gary farmers claim that he received an a from the nra is an absolute lie,true,1
18 percent of our land in our state right now is either federally state or county owned for conservation purposes,true,1
photo shows a crowded new york city subway train during stayathome order,true,1
one thing that is much more unpopular than the affordable care act is repealing the affordable care act,mostly-true,1
democrat stephen webber voted to allow sex offenders to be within 500 feet of childcare centers and playgrounds and even voted to allow sex offenders to be coaches,barely-true,0
a 5050 publicprivate split for paying for a new milwaukee bucks arena would be much better  in terms of the portion of the public financing  than most of the other arena projects done around the country,true,1
at the moment energy companies spend 025 percent on rd,true,1
this rule could prevent children under 18 from using such tools as a power screwdriver a milking machine or something as simple as a wheelbarrow on the family farm    ,barely-true,0
in 2010 everybody said you cant dare let guns go into the national parks and of course the rapes murders robberies and assaults are down about 85 percent since we did that,false,0
state medicaid expansion will save our treasury $1 billion over the next eight years,half-true,1
says donald trumps executive order doesnt address the over 2000 children who are already separated from their parents and it doesnt change the fact that we would be jailing children with their families,mostly-true,1
republican candidate for governor allan fung donated to democrats like congressman david cicilline disgraced house speaker gordon fox and even mr obamacare harry reid,mostly-true,1
says trump administration is raiding moneyfrom military service member pensions to pay for the border wall,false,0
the last major oil spill from a drilling accident in america happened over 40 years ago in 1969,false,0
new data shows inperson learning isnt driving spikes in cases ,true,1
a bill by earl blumenauer would mandate gps tracking devices on all our vehicles,pants-fire,0
says he did not vote for nancy pelosi for speaker of the house,barely-true,0
we fixed a loophole in the gun background record check system so that we could make our commonwealth safer,true,1
election fraud democrats are voting twice in maryland,pants-fire,0
if you make the average amount of people in wisconsin $50000 you got $160 less a week in taxes under the state incometax cut but it didnt show up in your paycheck,mostly-true,1
says a photo of a park covered in trash was left behind by environmentalists after an earth day celebration in california,false,0
faced with $1 million in campaign debt scott walker is unloading his campaign security costs onto the backs of wisconsin taxpayers,barely-true,0
the deal to raise the nations debt ceiling will directly link a debt ceiling increase to spending cuts for the first time ever ,false,0
more people are apprehended after illegally crossing the usmexico border a week than are born in texas each week,true,1
says nearly 29000 oregonians â almost 5 percent of all homeowners â are 90 days or more delinquent on their mortgage,true,1
the firefighters the policemen and others who supported wisconsin gov scott walker in his election bid  dont have to worry about their collective bargaining rights,half-true,1
in the last two years we have reduced the deficit by $25 trillion,false,0
in 1960 we spent more than 3 percent of our gdp on infrastructure projects like the interstate highway today we spend less than 1 percent of our gdp on these vital investments,half-true,1
we now have several hundred teachers that are over 100 years old and what ive read recently is that a baby born today their age expectancy is 110 at least,half-true,1
says about 80 to 90 of people seeking asylum do not have a valid claim,false,0
under the nuclear nonproliferation treaty enrichment has been limited to basically the weapons states,false,0
says walmart employees represent the largest group of medicaid and food stamp recipients in many states costing the taxpayer $1000 per worker,mostly-true,1
world renowned experts declare that we should live normally practice simple hygiene stay home when sick and use protective measures only with the most vulnerable populations,half-true,1
people havent had a raise  90 percent of americans have not had a raise for 40 years,half-true,1
fifty percent of the graduating class of the year 2012 will have smoked marijuana or have done illegal drugs,mostly-true,1
says marco rubio is proposing a new $1 trillion welfare program in tax credits and $1 trillion in new military spending,mostly-true,1
john mica voted to borrow $10 trillion,half-true,1
the coronavirus pandemic is effectively over in the united kingdom and there is absolutely no need for vaccines,pants-fire,0
a recent report from the presidents deficit commission was completely empty on controlling health care costs,false,0
says paul ryan backs a proposal that would be a bailout of puerto rico,half-true,1
seventy four percent of californians are absolutely against sanctuary state policies,false,0
says hillary clinton has pledged amnesty in her first 100 days and her plan will provide obamacare social security and medicare for illegal immigrants breaking the federal budget,barely-true,0
wisconsin dropped from second in the country to 41st among states where more than half the students took the act exam,pants-fire,0
theres not one democrat who endorses the romneyryan medicare plan,true,1
israels per capita income is greater than probably threefourths of the rest of the world,true,1
says georgia power customers pay 10 percent to 15 percent below the national average for electricity,mostly-true,1
in springfield susana mendoza voted to hit working families with a massive new soda tax,barely-true,0
i was one of the few very few who voted no on the iran deal,false,0
if you look at our tax mix the share of corporate revenues as a percentage of our overall revenue mix has declined by about half over the last 30 years,half-true,1
says if the ahca replaces obamacare it will significantly reduce insurance premiums in north carolina,half-true,1
what is and isnt a schedule i narcotic is a job for congress,half-true,1
the cdc may have to stop calling covid19 an epidemic due to a remarkably low death rate,false,0
when comparing state by state the data clearly demonstrates that over 20 other states with prescription drug monitoring programsare still substantially worse off than missouri in terms of curbing the effects of opioid abuse,half-true,1
weve got to find 2 billion gallons of water per day between now and 2025,mostly-true,1
the iran deal handed billions of dollars of cash on cargo planes sent it to a state sponsor of terror and tammy baldwin was one of the first us senators to get on board and support that,barely-true,0
says the simpsonbowles deficit reduction proposal went from president barack obamas desk to the garbage can,false,0
57 of the jobs created in austin from 2009 to 2013 do not pay families a living wage,mostly-true,1
when the salmonella source was finally identified fda officials had to wait for industry approval before they could go live with the peanut recall,true,1
stacey abrams burning the flag of the state she seeks to serve as governor,half-true,1
after hurricane katrina dallas and san antonio took in 5000 to 10000 refugees each but bill white brought in 250000 and put them up in his buddies empty apartment buildings and let the federal government pay their rents for over two years they did not return to new orleans most of them are on welfare,false,0
says samuel l jackson said maybe if we underpaid these modern mumble rappers and overpaid teachers there would be smarter people in the future and less smusic,false,0
ripta has really some of the fullest buses for its transit agency size around the country,mostly-true,1
says joe biden plagiarized donald trump in his democratic national convention speech,false,0
$100b contact tracing bill is about controllingtracking population not about coronavirus,false,0
nasa prepping 17yearold alyssa carson to become first human on mars,barely-true,0
says sen bill nelson is a socialist,pants-fire,0
says ted strickland in this campaign bragged about his aplus rating with the nra  he has said he has a mixed and spotty record on this issue and that he can be criticized for it those are his words not mine so i dont know where he is on this issue,true,1
californias singlepayer healthcare proposal would force seniors off of medicare,half-true,1
justice kennedy quit because he and his son helped trump launder illegal russian money through deutsche bank,false,0
a simple review of the backrooms health code records will reveal that the restaurant already has a longstanding problem with rodent infestations,pants-fire,0
it has been many years if ever since an inmate has completed his or her high school diploma while incarcerated in a state correctional facility for adults,mostly-true,1
says he opposed the presidents decision to go into iraq in 2003,barely-true,0
says rick scott pled the fifth 75 times to avoid jail for medicare fraud,half-true,1
of course youve got a low unemployment rate when peopleve got to work two and three jobs just to make ends meet,pants-fire,0
the republican replacement for obamacare does not give massive tax cuts to wealthy americans,false,0
in chicago covid19 actually lowered the death rate,false,0
in the 38 studios deal wall street investors took a risk and went bust,false,0
under legislation that has cleared the georgia house some children who are legal refugees could obtain state scholarships to attend private schools,true,1
back in 2005 when we did that first pointintime count there were over 188000 thousand people that were deemed homeless in the state of california â¦ thats 35000 more than we have today,half-true,1
on rescinding obamaera marijuana enforcement guidelines,no-flip,1
uwmadison spent down reserves as it was told to do two years ago and facing new state budget cuts has no more reserves to spend down,half-true,1
jim renacci tried to avoid paying taxes on nearly $14 million that he made,true,1
number of americans killed by terrorism in the last decade 24 number of americans killed by guns in the last decade 280024,mostly-true,1
as a result of obamacare we are becoming something of a parttime employment country,false,0
says mike gallaghers plan would cut social security benefits for twothirds of seniors,half-true,1
kenosha car dealer kills himself after insurance wont cover â¦ damages caused by the riots,pants-fire,0
every personhood bill ive ever support has either had language that says were conforming to the constitutional rulings of the supreme court or something to that effect,false,0
miamidade has the nations highestrated tap water,false,0
obamas secretary of energy dr steven chu has said publicly he wants us to pay european levels for gasoline and that would be $9 or $10 a gallon,mostly-true,1
says fema is giving essential workers $1000,pants-fire,0
there are cities and counties in georgia that dont have websites and where elected officials dont have email addresses,true,1
says pps employees have paid their own pers contributions for many years,true,1
says donald trump said of women and you can tell them to go f themselves,pants-fire,0
potential foxconn changes are due to the wave of economic uncertainty from evers administration,pants-fire,0
current projections indicate that medicare will go bankrupt by 2017 while social security will bottom out by 2037,half-true,1
one in three women is sexually assaulted on the dangerous journey north,half-true,1
says mark pryor votes with obama 93 percent of the time,mostly-true,1
says milwaukee police were protecting a sex offenders house and snuck children out of it after a mother tracked her missing daughter to that address,false,0
north koreas missiles are not going to have a capability to reach the united states anytime real soon,true,1
says that rick santorum voted for the unions over fedex,half-true,1
says scott walkers views on abortion are more restrictive than any republican president in recent times,true,1
from 200010 us manufacturing employment shrank by a third after holding steady for 30 years,mostly-true,1
says at his confirmation hearing brett kavanaugh said birth control methods could be considered abortioninducing drugs,false,0
too many tattoos on visible body parts keepsome applicants out of the military,true,1
six flags is offering five free passes and unlimited free rides to everyone,false,0
texas has launched operation lone star to finish the border wall themselves,false,0
if youre a mexican you get sent back  but if youre from a noncontiguous country like the central american countries then you can stay in the united states,true,1
the obama administration has cut taxes on small businesses 17 times,mostly-true,1
says the sons of nancy pelosi mitt romney and john kerry are all on the boards of energy companies doing business in ukraine,false,0
a flight crew took a knee and stranded the new orleanssaints on an airportrunway,pants-fire,0
says donald trump promised to take care of everybody through governmentrun healthcare and the governments going to pay for it,false,0
thousands of westerners and americans are fighting with extremists in eastern syria and iraq,mostly-true,1
it was dan sullivan who wrote a bill to cut alaskans out of those decisions about where they can hunt and fish,half-true,1
navy seals arrest hillary clinton,pants-fire,0
101 utilities cut rates credit gop tax cuts,mostly-true,1
the climatic research unit emails show that the science behind climate change has been pretty well debunked,false,0
every county including chittenden has fewer people available for work,false,0
in texas latinas make less than $045 for every dollar a man makes that makes us 49th in the nation,mostly-true,1
says states with graduated income taxes create jobs and grow their economies faster than illinois,half-true,1
cory gardner is sponsoring a bill to ban all abortions right now,half-true,1
numbers on illegal immigrants are down in terms of apprehensions which indicates fewer illegal crossings but also up in terms of actual enforcement actions,mostly-true,1
hidden in the cares act was an obscure $135 billion tax break for 43000 millionaires,mostly-true,1
since 2004 more than 2000 suspected terrorists have legally purchased weapons in the united states,mostly-true,1
says precisely zero terrorists terrorist groups or terror plots have ever been connected with the usmexico border to do harm to people within the united states,false,0
says mitt romney and paul ryan would eliminate the guarantee of medicare,half-true,1
a bill to cap carbon emissions could cost ohio 100000 jobs,barely-true,0
says sen bill nelson voted to spend $144541 to see how monkeys react under the influence of cocaine,barely-true,0
says bill nelson voted 98 percent of the time with barack obama,mostly-true,1
every time we go to court against the trump administration for the most part we win,mostly-true,1
if youre a terrorist you cant fly but an assault weapon you can buy,mostly-true,1
says nancy pelosi said if impeachment fails i will resign immediately,pants-fire,0
nevada will be energy independent within the immediate future,false,0
says he often appeared on the oreilly factorand often was praised bybilloreilly,half-true,1
businesses that refuse any legal tender can be fined and sued,half-true,1
a small business in my district needed 31 different permits and fees just to be able to expand,mostly-true,1
says the university of south florida invests in oil companies like bp tobacco companies weapons manufacturers and private prisons,mostly-true,1
were making medicare stronger were making social security stronger,false,0
in the 1950s and 1960s the minimum wage was such that it would lift you out of poverty,mostly-true,1
congress rejects $336 per month increase in social security and disability benefits but approves $8872 per month increase for themselves,false,0
says she never received nor sent any material that was marked classified on her private email server whilesecretary of state,false,0
all the things patrick morrisey is saying â that i supported hillary clinton cap and trade planned parenthood â politifact went through each and every allegation and said false false false false ,half-true,1
every election year has a disease  sars in 2004 avian flu in 2008 swine flu in 2010 mers in 2012 ebola in 2014 and 2018 zika in 2016 and the coronavirus in 2020,false,0
says an arms control treaty supported by barack obama could give the un some authority to regulate guns,false,0
says donald trump once suggested that he would try to negotiate down the national debt,mostly-true,1
were talking about a law that would allow a child to be aborted right up to the moment of birth,barely-true,0
says a warning label on a box of disposable masks shows that they are ineffective at protecting against the spread of covid19,false,0
the cbo says if we raise the minimum wage the way charlie crist wants to do it it would lose 500000 jobs,half-true,1
providence has more of its pension fund invested in hedge funds and is less transparent about it than the state,mostly-true,1
21 million jobs have been created in the last six or seven years in california,true,1
says every time the dscc endorsed someone in north carolinas us senate primary and the person they didnt support was black the candidate they picked ended up losing,false,0
40 percent of american households have female primary breadwinners,mostly-true,1
lottery winner arrested for dumping $200000 of manure on exboss lawn,pants-fire,0
marco rubio voted against authorizing president obama to strike syria after assad used chemical weapons on his own people,mostly-true,1
the obama administration went to court to keep one of these five in jail at guantanamo just three years ago because he was such a huge risk,half-true,1
john mccain voted against establishing a national holiday in honor of dr martin luther king jr,true,1
were trailing every other state in the midwest in terms of job creation since january of 2011,half-true,1
del debra rodman opposes adoption as an alternative to abortion in event of unplanned pregnancies,false,0
saysgeorgia becomes first state to ban muslim culture in historic move to restore western values,false,0
research performed by economists has shown no consistent positive impact on jobs income or tax revenues arising from stadiums or sports franchises,true,1
michaelcohen convicted of lying to congress re russia investigation â¦ elliottabrams convicted of lying to congress re arming contra death squads,mostly-true,1
today the top 1 percent earn a higher share of our national income than any year since 1928,mostly-true,1
more than 80 percent of sex trafficking victims in america are us citizens,half-true,1
about 1 percent of all the gun sellers are responsible for more than half of the guns that are used in crimes,half-true,1
the virginia population increased by just 8 percent from 2005 to 2015 but the per capita spending in the budget increased by a whopping 38 percent,half-true,1
every time we raise the minimum wage the number of jobless people increases,false,0
dems want to shut your churches down permanently hope you see what is happening,pants-fire,0
says a young texas rapper charged with capital crimes faces the death penalty but the alleged santa fe high school shooter faces prison and then parole after 40 years,false,0
says that compared to rick bakers time as mayor kriseman had wet weather events that he did not experience that caused sewage spills baker went through significant periods of drought during his time as mayor,barely-true,0
says the federal government mandates transexuals sic and homosexuals grabbing children in their strangerdanger zones in the name of airport security,pants-fire,0
says special counsel robert mueller has brought in democrat campaign donors at a very high level on his team of lawyers,half-true,1
says secretary of state rex tillerson got a government service golden parachute payment of $180 million from exxon mobil that he would have to forfeit had he taken a job elsewhere ,barely-true,0
says theres a 100yearold international norm not to use chemical weapons,mostly-true,1
the school voucher bill the iowa legislature is considering would give your education tax dollars to corporations,mostly-true,1
richmond teachers have not gotten a raise for almost 10 years,barely-true,0
ms kagan has spent her entire professional career in harvard square hyde park and the dc beltway,true,1
says a marquette professor called him a maverick and found no correlation between his opinions and conservative background,barely-true,0
under the affordable care act three states get 35 of the money folks can you name them ill help you california new york and massachusetts,half-true,1
says the democratic leadership and presidential candidates are mourning the loss of qassem soleimani,pants-fire,0
